GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mockito-exercise,mockito.exercise.entity,CourseRequest,3,35,3,3,1,9,3,4,0,4
mockito-exercise,mockito.exercise.entity,Student,5,167,1,3,1,46,1,12,0,11
mockito-exercise,mockito.exercise.entity,CourseAttendance,0,15,0,0,0,6,0,3,0,3
mockito-exercise,mockito.exercise.entity,TutorRequest,3,36,3,3,1,10,3,4,0,4
mockito-exercise,mockito.exercise.entity,Course,1,121,0,2,1,32,0,9,0,8
mockito-exercise,mockito.exercise.entity,Teacher,0,95,0,4,0,26,0,9,0,7
mockito-exercise,mockito.exercise.Exception,NoTutorException,3,4,0,0,2,2,1,1,1,1
mockito-exercise,mockito.exercise.Exception,CourseRequestException,3,4,0,0,2,2,1,1,1,1
mockito-exercise,mockito.exercise.Exception,TutorRequestException,3,4,0,0,2,2,1,1,1,1
mockito-exercise,mockito.exercise.Exception,TooMuchTutoredStudentException,4,3,0,0,2,2,1,1,1,1
